8	2	22	97	38	15	0	40	0	75	4	5	7	78	52	12	50	77	91	8				1651104	336140	6414210	6514520	142120	5759100	0	2777040	0	11118600	184960	750400	36358	9444864	6027840	122688	362600	112112	7312032	0	0	0	0
49	49	99	40	17	81	18	57	60	87	17	40	98	43	69	48	4	56	62	0				4540536	5210170	4664880	4768360	190740	25723980	174636	6178914	15785820	13638816	1664640	8104320	114268	4843520	4636800	286272	478632	48048	1044576	0	0	0	0
81	49	31	73	55	79	14	29	93	71	40	67	53	88	30	3	49	13	36	65				2223936	4997510	1507840	7152540	1110780	952740	436590	216804	11576268	11757600	3231360	10738224	90948	4055040	5644800	119280	4188030	14586	202176	23660000	0	0	0
52	70	95	23	4	60	11	42	69	24	68	56	1	32	56	71	37	2	36	91				878592	9995020	3939840	2743440	1292544	277380	2089395	74760	3236376	6292800	3231360	10738224	101244	2488320	13171200	2624160	1538460	42636	359424	25480000	0	0	0
22	31	16	71	51	67	63	89	41	92	36	54	22	40	40	28	66	33	13	80				1132032	3712436	829440	8111040	646272	286626	2279340	35600	4455880	16518600	4466880	7478406	6378372	622080	9408000	3363360	2744280	1044582	938496	5880000	0	0	0
24	47	32	60	99	3	45	2	44	75	33	53	78	36	84	20	35	17	12	50				1234944	6586580	3006720	571200	836352	312294	3581820	10400	10541960	3052350	9678240	10802142	27832896	1290816	3292800	10570560	1413720	2817206	4548096	5292000	0	0	0
32	98	81	28	64	23	67	10	26	38	40	67	59	54	70	66	18	38	64	70				1080576	5045040	2161080	85680	633600	0	6049296	228800	4791800	1831410	10264800	2853396	0	2187216	1293600	51267216	1373328	5137258	12507264	10054800	0	0	0
67	26	20	68	2	62	12	20	95	63	94	39	63	8	40	91	66	49	94	21				2633904	875160	1414040	85680	217800	0	2798928	1532960	2764500	4530330	769860	3407040	0	2511248	295680	10874864	686664	7165123	10943856	13214880	0	0	0
24	55	58	5	66	73	99	26	97	17	78	78	96	83	14	88	34	89	63	72				628992	1312740	353510	52920	10454400	0	7230564	3602456	1600500	4170780	720720	2096640	0	5336402	399168	2868096	374544	4240583	9896040	35868960	0	0	0
21	36	23	9	75	0	76	44	20	45	35	14	0	61	33	97	34	31	33	95				2253888	1336608	0	508032	5544000	0	6500204	969892	82500	10794960	406560	994560	0	3857640	598752	1890336	561816	2572938	2670360	28894440	0	0	0
